# ADC Lookup Table Generated by A. Hedglen
# Nov 2019
#
# Atmospheric Pressure = 765 mb
# Temperature = 290 K
# Height = 2380 m
# Humidity = 0.5
# Latitude = 29.015
# Wavelength: 0.6 - 1.1 um
#
#Zenith,ADC1,ADC2
57.6000,-25.0673,25.0654
57.7000,-25.1710,25.1680
57.8000,-25.2754,25.2713
57.9000,-25.3804,25.3752
58.0000,-25.4861,25.4798
58.1000,-25.5924,25.5850
58.2000,-25.6995,25.6909
58.3000,-25.8072,25.7975
58.4000,-25.9156,25.9048
58.5000,-26.0248,26.0129
58.6000,-26.1346,26.1216
58.7000,-26.2452,26.2310
58.8000,-26.3565,26.3412
58.9000,-26.4686,26.4522
59.0000,-26.5814,26.5638
59.1000,-26.6949,26.6762
59.2000,-26.8092,26.7894
59.3000,-26.9243,26.9034
59.4000,-27.0402,27.0181
59.5000,-27.1569,27.1336
59.6000,-27.2743,27.2500
59.7000,-27.3926,27.3671
59.8000,-27.5117,27.4851
59.9000,-27.6317,27.6039
60.0000,-27.7525,27.7236
